Treat,Incidence,Trial,Date,Significance,scaled.incidence
Actinovate,1,Trial 1,6/13/2014,bc,0.089102735
Actinovate,0,Trial 1,6/13/2014,bc,0
Actinovate,0.5,Trial 1,6/13/2014,bc,0.044551368
Actinovate,0,Trial 1,6/13/2014,bc,0
Actinovate,0,Trial 1,6/13/2014,bc,0
Actinovate,0.5,Trial 1,6/13/2014,bc,0.044551368
Actinovate,0,Trial 1,6/13/2014,bc,0
Actinovate,0,Trial 1,6/13/2014,bc,0
Actinovate,0,Trial 1,6/13/2014,bc,0
Actinovate,1,Trial 1,6/13/2014,bc,0.089102735
Actinovate,0,Trial 1,6/13/2014,bc,0
Actinovate,0,Trial 1,6/13/2014,bc,0
Actinovate,0,Trial 1,6/13/2014,bc,0
Actinovate,0,Trial 1,6/13/2014,bc,0
Actinovate,0,Trial 1,6/13/2014,bc,0
Actinovate,30,Trial 1,6/13/2014,bc,2.673082064
Actinovate,10,Trial 1,6/13/2014,bc,0.891027355
Actinovate,20,Trial 1,6/13/2014,bc,1.782054709
Actinovate,3.333333333,Trial 1,6/13/2014,bc,0.297009118
Actinovate,3.333333333,Trial 1,6/13/2014,bc,0.297009118
Actinovate,2.666666667,Trial 1,6/13/2014,bc,0.237607295
Actinovate,0,Trial 1,6/13/2014,bc,0
Actinovate,0,Trial 1,6/13/2014,bc,0
Actinovate,0.666666667,Trial 1,6/13/2014,bc,0.059401824
Actinovate,1.333333333,Trial 1,6/13/2014,bc,0.118803647
Actinovate,1.333333333,Trial 1,6/13/2014,bc,0.118803647
Actinovate,2,Trial 1,6/13/2014,bc,0.178205471
Actinovate,0,Trial 1,6/13/2014,bc,0
Actinovate,1,Trial 1,6/13/2014,bc,0.089102735
Actinovate,2,Trial 1,6/13/2014,bc,0.178205471
Actinovate,35,Trial 1,6/13/2014,bc,3.118595741
Actinovate,25,Trial 1,6/13/2014,bc,2.227568386
Actinovate,40,Trial 1,6/13/2014,bc,3.564109418
Actinovate,5,Trial 1,6/13/2014,bc,0.445513677
Actinovate,1,Trial 1,6/13/2014,bc,0.089102735
Actinovate,0.5,Trial 1,6/13/2014,bc,0.044551368
Actinovate,2,Trial 1,6/13/2014,bc,0.178205471
Actinovate,0,Trial 1,6/13/2014,bc,0
Actinovate,0.5,Trial 1,6/13/2014,bc,0.044551368
Actinovate,10,Trial 1,6/13/2014,bc,0.891027355
Actinovate,15,Trial 1,6/13/2014,bc,1.336541032
Actinovate,7,Trial 1,6/13/2014,bc,0.623719148
Actinovate,7,Trial 1,6/13/2014,bc,0.623719148
Actinovate,12,Trial 1,6/13/2014,bc,1.069232825
Actinovate,8,Trial 1,6/13/2014,bc,0.712821884
Cueva,1,Trial 1,6/13/2014,ab,0.089102735
Cueva,0.5,Trial 1,6/13/2014,ab,0.044551368
Cueva,0,Trial 1,6/13/2014,ab,0
Cueva,1,Trial 1,6/13/2014,ab,0.089102735
Cueva,0,Trial 1,6/13/2014,ab,0
Cueva,0.5,Trial 1,6/13/2014,ab,0.044551368
Cueva,0,Trial 1,6/13/2014,ab,0
Cueva,0,Trial 1,6/13/2014,ab,0
Cueva,0,Trial 1,6/13/2014,ab,0
Cueva,0.5,Trial 1,6/13/2014,ab,0.044551368
Cueva,0.5,Trial 1,6/13/2014,ab,0.044551368
Cueva,0,Trial 1,6/13/2014,ab,0
Cueva,0,Trial 1,6/13/2014,ab,0
Cueva,0,Trial 1,6/13/2014,ab,0
Cueva,0,Trial 1,6/13/2014,ab,0
Cueva,1.333333333,Trial 1,6/13/2014,ab,0.118803647
Cueva,2,Trial 1,6/13/2014,ab,0.178205471
Cueva,0,Trial 1,6/13/2014,ab,0
Cueva,2,Trial 1,6/13/2014,ab,0.178205471
Cueva,1.333333333,Trial 1,6/13/2014,ab,0.118803647
Cueva,0,Trial 1,6/13/2014,ab,0
Cueva,2,Trial 1,6/13/2014,ab,0.178205471
Cueva,1.333333333,Trial 1,6/13/2014,ab,0.118803647
Cueva,2,Trial 1,6/13/2014,ab,0.178205471
Cueva,15,Trial 1,6/13/2014,ab,1.336541032
Cueva,2,Trial 1,6/13/2014,ab,0.178205471
Cueva,1,Trial 1,6/13/2014,ab,0.089102735
Cueva,1,Trial 1,6/13/2014,ab,0.089102735
Cueva,0,Trial 1,6/13/2014,ab,0
Cueva,0,Trial 1,6/13/2014,ab,0
Cueva,7,Trial 1,6/13/2014,ab,0.623719148
Cueva,5,Trial 1,6/13/2014,ab,0.445513677
